country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.25,0.77,1.28,1.15,0.65,0.33,0.52,,0.38,0.97,0.88,0.88,1.9,1.13,0.91,3.04,,1.69,2.19,5.11,5.65,6.26,5.33,3.79,3.44,1.96,3.82,2.76,2.02,1.91,2.85,2.71,2.55,2.47,2.7,2.03,1.98,4.38
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.47,0.77,0.43,,1.29,1.2,,,,,,1.44,1.18,,4
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,5.65,,5.19,4.44,4.73,4.39,4.21,5.58,5.5,6.39,9.61,7.36,10.8,10.6,7.45,7.92,4.16,4.23,5.41
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,9.51,7.23,5.34,5.97,3.91,7.41,1.53,1.64,,2.12,2.94,2.59,3.46,3.85,3.93,5.08,6.28,7.21,8.28,8,7.45,5.96,5.54,4.48,4.26,2.9,2.12,2.75
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.13,,,0.36,,0.16,0.18,0.35,0.19,0.38,1.15,1.19,2.43,1.6,1.3,1.01,1.13,0.59,0.52,1.52,0.66,0.51,0.62,0.23,0.41,0.21,,0.47,0.32,0.48
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.1,,,,,0.25,,0.76,,,,,,0.06,,0.09
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,11.2,9.94,12.2,11.6,12.3,11.1,9.63,9.57,8.18,7.35,8.14,8.7,6.94,5.3,,4.47,2.37,2.68,2.23,1.97,1.51,,2.41,2.56,3.15,5.09,6.79,7.33,7.73,9.33,8.46,6.79,5.59,5.72,4.25,3.47,3.67
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.8,1.09,0.96,0.71,0.79,1.87,1.72,1.43,1.7,1.34,1.72,2.01,2.16,1.39,0.99
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,2.21,,1.89,,0.67,7.75,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,3,4.41,3.81,2.31,2.9,,,,,,,,2.56,,1.75,0.89,0.6,2.18,3.43,3.57,3.86,3.46,3.07,3.28,1.36,1.58,,,3.82
